# Exact English source<TAB>Simplified Chinese translation.
# Keep application data, terminal content, model output, and user-authored text out of this catalog.
+ Add rule	+ 添加规则
+ Add router	+ 添加路由
+ Add custom model	+ 添加自定义模型
1 Comment	1 条评论
Accept	接受
Add	添加
Add Profile	添加配置
Add repo	添加仓库
Add rule	添加规则
Attach as context	附加为上下文
Add-on credits	附加额度
Agent	智能体
AI	AI
All	全部
Allow	允许
Archived ({archived_count})	已归档（{archived_count}）
Auto-reload	自动重新加载
Auto reload	自动重新加载
AWS Region:	AWS 区域：
Background color	背景颜色
Balance	余额
BETA	测试版
Beta	测试版
Binary file - no diff available	二进制文件——无法显示差异
Blocks	区块
Branch	分支
Bring All to Front	全部置于前台
Buy credits	购买额度
Call web tools	调用网页工具
Cancel	取消
Cancelled	已取消
Cannot detect diffs for this folder	无法检测此文件夹的差异
Change default model	更改默认模型
Change keybinding	更改快捷键
Change list truncated at 1,000 files.	更改列表已截断为 1,000 个文件。
Changes	更改
Character limit exceeded.	已超出字符限制。
Choose how you'd like to set up your environment	选择环境设置方式
Choose how you’d like to set up your environment:	选择环境设置方式：
Choose your agent	选择智能体
Clear all	全部清除
Clear filters	清除筛选条件
Close	关闭
Close Window	关闭窗口
Cloud Agent Run Cancelled	云端智能体运行已取消
Code review	代码审查
Code symbols indexing...	正在索引代码符号...
Command edited.	命令已编辑。
Command Search	命令搜索
Comment	评论
Comment imported from GitHub	已从 GitHub 导入评论
Commit	提交
Commit and create PR	提交并创建 PR
Commit message	提交信息
Compact Mode	紧凑模式
Configure	配置
Configure access on GitHub	在 GitHub 上配置访问权限
Connect	连接
Connecting	正在连接
Loading	正在加载
Context window	上下文窗口
Continue	继续
Continue locally	在本地继续
Copy on Select within the Terminal	在终端中选中即复制
Copy relative path	复制相对路径
Create	创建
Create anonymous user	创建匿名用户
Create an environment	创建环境
Create an integration	创建集成
Create a key to manage external access to Warp	创建用于管理 Warp 外部访问的密钥
Create environment	创建环境
Create your first tab config	创建第一个标签页配置
Custom endpoints	自定义端点
Cycle suggestions	循环切换建议
Debug	调试
Debug output	调试输出
Delete	删除
Delete environment	删除环境
Delete MCP	删除 MCP
Delete profile	删除配置
Delete rule	删除规则
Density	密度
Description	描述
Directory tab colors	目录标签页颜色
Discard changes	放弃更改
Disconnect	断开连接
Dismiss	关闭
Don't ask me this again	不再询问
Don't show again	不再显示
Drive	云盘
Edit	编辑
Edit Profile	编辑配置
Edit rule	编辑规则
Edit Variables	编辑变量
Enable	启用
Enable auto-handoff?	启用自动移交？
Enable notifications	启用通知
Environment details	环境详情
Environment setup commands	环境设置命令
Error	错误
Idle	空闲
Error loading diffs	加载差异时出错
Example queries	示例查询
Expiration	到期时间
Failed to start environment	启动环境失败
File	文件
File explorer	文件资源管理器
File renamed without changes	文件仅重命名，内容未更改
Filter files, commits, or branches	筛选文件、提交或分支
Finish	完成
Fork current conversation	派生当前对话
Free credits	免费额度
From GitHub	从 GitHub 导入
Get started	开始使用
Get Warping	开始使用 Warp
Getting started with Oz cloud agents	开始使用 Oz 云端智能体
GitHub Authentication Required	需要 GitHub 身份验证
Give control back to agent	将控制权交还智能体
Go to line	转到行
Grace period (seconds)	宽限期（秒）
Harness	执行框架
Height %	高度 %
Hide Others	隐藏其他应用
Hide Warp	隐藏 Warp
Import	导入
Include unstaged	包含未暂存更改
Included commits	包含的提交
Index new folder	索引新文件夹
Initialize codebase	初始化代码库
Initialize Project	初始化项目
Install	安装
Install nvm	安装 nvm
Installed	已安装
Invalid regex	无效的正则表达式
Keybinding	快捷键
Last 30 days	最近 30 天
Launch Configurations	启动配置
Learn more	了解更多
Load more	加载更多
Loading...	正在加载...
Loading agents...	正在加载智能体...
Loading prompt...	正在加载提示词...
Loading results...	正在加载结果...
Loading session...	正在加载会话...
Log out	退出登录
Manage	管理
Manage defaults	管理默认设置
Manage rules	管理规则
Manually Toggle Network Status	手动切换网络状态
Mark all as read	全部标为已读
Minimize	最小化
MODELS	模型
Monthly overage spending limit	每月超额消费上限
Name	名称
Name (optional)	名称（可选）
NEW	新功能
New	新建
New Agent Tab	新建智能体标签页
New agent	新建智能体
New conversation	新建对话
New empty file	新建空文件
New environment	新建环境
New terminal session	新建终端会话
New Terminal Tab	新建终端标签页
New Window	新建窗口
New worktree	新建工作树
New branch name	新分支名称
Next	下一步
No agents available. Create one first.	没有可用智能体，请先创建一个。
No API Keys	没有 API 密钥
No API keys match your search	没有与搜索匹配的 API 密钥
No cloud environment was started	未启动云端环境
No code to be restored	没有可恢复的代码
No conversations yet	还没有对话
No environments match your search.	没有与搜索匹配的环境。
No file selected	未选择文件
No files to discard	没有可放弃的文件
No matching conversations	没有匹配的对话
No matches	没有匹配项
No MCP server selected	未选择 MCP 服务器
No node versions installed	未安装 Node.js 版本
No open changes	没有未处理的更改
No repositories found	未找到仓库
No repos selected yet	尚未选择仓库
No results found	未找到结果
No results matched your filters	没有结果符合筛选条件
No secrets found. Save to use this value directly or click the key to add a secret.	未找到密钥。保存后可直接使用此值，或点击密钥图标添加密钥。
No settings match your search.	没有与搜索匹配的设置。
No tabs match your search.	没有与搜索匹配的标签页。
No tabs open	没有打开的标签页
Needs input	等待输入
New file	新建文件
No tools available	没有可用工具
No updates available	没有可用更新
No usage history	没有使用记录
None	无
Not now	暂不
Notifications setup instructions	通知设置说明
Open all in code review	在代码审查中打开全部
Open file	打开文件
Open in new pane	在新窗格中打开
Open in new tab	在新标签页中打开
Open in code review	在代码审查中打开
Open in Warp	在 Warp 中打开
Open Recent	打开最近项目
Open repository	打开仓库
Open settings file	打开设置文件
Open Tab	打开标签页
Paste	粘贴
Other team members' usage across add-on, pay-as-you-go, and cloud-only credits.	其他团队成员对附加额度、按量付费额度和仅限云端额度的使用情况。
Outdated	已过期
Oz Cloud API Keys	Oz 云端 API 密钥
Pane title as	窗格标题显示为
PERMISSIONS	权限
Personal	个人
Plan	计划
Plan auto-sync	计划自动同步
Please authenticate with GitHub to continue	请通过 GitHub 身份验证以继续
Preferences	偏好设置
Ready	就绪
Rename	重命名
Reveal in Explorer	在资源管理器中显示
Reveal in file manager	在文件管理器中显示
Reveal in Finder	在访达中显示
Running	运行中
Press new keyboard shortcut	按下新的快捷键
Previous	上一步
Project explorer unavailable	项目资源管理器不可用
Project Skill	项目技能
Provided API key is not valid	提供的 API 密钥无效
Purchased this month	本月已购买
Queued	已排队
Quit Warp	退出 Warp
RECENT ACTIVITY	最近活动
Recommended	推荐
References	引用
Refresh	刷新
Refresh AWS Credentials	刷新 AWS 凭据
Refine	优化
Regex pattern	正则表达式
Reject	拒绝
Remove	移除
Remove endpoint	移除端点
Remove from team	从团队中移除
Remove queued prompt	移除排队中的提示词
Replace all	全部替换
Repo(s)	仓库
Reopen closed session	重新打开已关闭的会话
Request	请求
Response	响应
Restore	恢复
Retry	重试
Review changes	审查更改
Rewind	回退
Rich Input	富文本输入
Run	运行
Runs	运行记录
Save	保存
Save Current Configuration	保存当前配置
Save New...	另存为新配置...
Search	搜索
Search sessions, agents, files...	搜索会话、智能体、文件...
See what's new	查看新功能
Select directory	选择目录
Send Feedback...	发送反馈...
Send now	立即发送
Send to Agent	发送给智能体
Session type	会话类型
Set Warp as Default Terminal	将 Warp 设为默认终端
Settings	设置
Share with team	与团队共享
Show	显示
Show All	全部显示
Show initialization block	显示初始化区块
Skip all	全部跳过
Some settings will take effect when you open a new session.	部分设置将在打开新会话后生效。
Start a new Oz cloud agent	启动新的 Oz 云端智能体
Status	状态
Stop sharing	停止共享
Suggested	建议
Suggestions:	建议：
Switch back to horizontal tabs	切回水平标签页
Synchronize Inputs	同步输入
Tab	标签页
Tab item	标签页项目
Take control	取得控制权
Take over	接管
Tasks	任务
Theme name	主题名称
ToggleFullScreen	切换全屏
Total overages	超额总计
Type	类型
Undo	撤销
Uniform padding (px)	统一内边距（像素）
Unable to load file content	无法加载文件内容
Update	更新
Update Agent	更新智能体
Update Warp plugin	更新 Warp 插件
Usage	使用情况
Use agent	使用智能体
Use latest codex model	使用最新 Codex 模型
Use Warp's Prompt	使用 Warp 的提示词
Version	版本
View	视图
View Agents	查看智能体
View all cloud runs	查看所有云端运行
View as	查看方式
View changelog	查看更新日志
View details	查看详情
View in Oz	在 Oz 中查看
Visit Oz	访问 Oz
Visit the repo	访问仓库
Warp Agent	Warp 智能体
Warp Drive	Warp 云盘
Warp is now open-source	Warp 现已开源
Warpify subshell	Warp 化子 Shell
When a command takes longer than	当命令运行时间超过
Width %	宽度 %
Window	窗口
You haven’t set up any environments yet.	你还没有设置任何环境。
You may want to try using different keywords or checking for any possible typos.	请尝试其他关键词，或检查是否存在拼写错误。
Zoom	缩放

# Additional production UI coverage. Brand names and protocol tokens are explicitly preserved.
+ Add model	+ 添加模型
+ Add new repo	+ 添加新仓库
+ Create API Key	+ 创建 API 密钥
AWS Access Key ID:	AWS 访问密钥 ID：
AWS credentials expired or missing	AWS 凭据已过期或缺失
Accept and save	接受并保存
Add as context	添加为上下文
Add environment variables	添加环境变量
Add regex	添加正则表达式
Additional metadata	附加元数据
Agent location	智能体位置
All locally indexed repos are already selected.	已选中所有本地索引的仓库。
Always run automatically	始终自动运行
Apply link	应用链接
Are you still there?	你还在吗？
Artifacts	产物
As you or the Agent make changes, you'll be able to track them here.	当你或智能体进行更改时，可以在此跟踪这些更改。
Auth with GitHub	使用 GitHub 认证
Authenticate with GitHub	通过 GitHub 身份验证
Auto-generate worktree branch name	自动生成工作树分支名称
Autogenerate worktree branch name	自动生成工作树分支名称
Automatically color tabs based on the directory or repo you're working in.	根据当前目录或仓库自动设置标签页颜色。
Automatically create a worktree when opening a new tab	打开新标签页时自动创建工作树
Bring your own AI	接入你自己的 AI
Buy more	购买更多
Cancel summarization	取消摘要
Close Welcome Tips	关闭欢迎提示
Close session	关闭会话
Cloud agents require an environment that they'll run in to get their task done. Create your first environment below. You'll be able to edit the environment later, or add new environments when you need them.	云端智能体需要一个运行环境来完成任务。请在下方创建第一个环境；之后可以编辑它，也可以按需添加新环境。
Compare plans	比较套餐
Confirm	确认
Connect your SuperGrok subscription to use Grok models in the Warp Agent through your xAI account.	连接你的 SuperGrok 订阅，通过 xAI 账户在 Warp 智能体中使用 Grok 模型。
Contact Admin to request access	联系管理员申请访问权限
Continue summarization	继续摘要
Copy All	全部复制
Copy error	复制错误信息
Copy link	复制链接
